کشتی,سرگشته 0.5
چو,کوره 0.03333333333333333
ز,تواضع 0.017543859649122806
من,ببری 0.015625
برجه,هله 0.5
بشکستم,من 1.0
هر,دانه 0.03225806451612903
دون,باشیم 1.0
جستم,من 1.0
فوق,ثریا 1.0
کی,گشتی 0.14285714285714285
نماید,</s> 0.5
طلبی,در 1.0
تو,خواهد 0.01098901098901099
مکان,گویم 0.25
و,دستم 0.007194244604316547
خارا,اثر 1.0
یکی,ذره 0.3333333333333333
ما,که 0.034482758620689655
لایعلمون,را 1.0
نهادیم,</s> 0.6666666666666666
<s>,چه 0.013745704467353952
چاه,ذقن 0.5
منزل,تو 1.0
ما,را 0.10344827586206896
بود,هشیار 0.03225806451612903
عیننا،,جمع 1.0
<s>,چو 0.024054982817869417
مخمورم,یا 1.0
ما,نیز 0.034482758620689655
او,یابد 0.02857142857142857
هر,چند 0.06451612903225806
شمس,فروشد 0.1111111111111111
عدن,گردد 1.0
وز,لورکند 0.125
جهان,چه 0.1111111111111111
اثری,کند 1.0
سهل,است 1.0
چون,دوست 0.043478260869565216
و,حسن 0.007194244604316547
جا,می‏روم 0.07142857142857142
<s>,میان 0.003436426116838488
اقرار,کنی 1.0
<s>,هزار 0.003436426116838488
سیاهی,چندین 1.0
خویش,بر 0.125
خمار,و 1.0
خوابت,</s> 1.0
خضر,فرخ 1.0
که,گنج 0.007142857142857143
من,باشد 0.015625
نان,ها 0.5
یعقوب,قرین 0.5
دو,چشمش 0.1111111111111111
کوری,دیده 1.0
من,خانه 0.015625
آن,دریاست 0.015151515151515152
تو,نگریزم 0.01098901098901099
پیاله,برآید 1.0
بردم,ز 1.0
شد,معانی 0.045454545454545456
ز,فریب 0.017543859649122806
از,وهم 0.010752688172043012
که,دلم 0.007142857142857143
نیست,کآدم 0.07692307692307693
می,دهید 0.019230769230769232
و,هوسناکی 0.007194244604316547
زبان,واقف 0.2
گردد,کنون 0.1111111111111111
خویش,به 0.125
است,روان 0.045454545454545456
او,برعکس 0.02857142857142857
جا,تویی 0.07142857142857142
هم,دغل 0.125
کرده,ست 1.0
نهادن,گلبانگ 1.0
که,گردن 0.007142857142857143
وان,گه 0.2
می,نوش 0.019230769230769232
وان,لطف 0.2
چون,قطره 0.043478260869565216
جان,چه 0.03333333333333333
این,را 0.027777777777777776
جنگ,باطنش 1.0
عشق,بین 0.05
ای,مصر 0.023809523809523808
هم,رباب 0.125
خیال,دوست 0.5
خسته,شود 0.5
و,ساقی 0.007194244604316547
مرا,حبس 0.0625
را,اهوی 0.012345679012345678
زهره,و 0.25
مرهمی,</s> 1.0
این,پرفتنه 0.027777777777777776
او,مرا 0.02857142857142857
این,انبار 0.027777777777777776
به,بیگانگان 0.011904761904761904
به,خانه 0.03571428571428571
رها,کردی 0.3333333333333333
غم,بازخریدیم 0.09090909090909091
شادی,عار 0.3333333333333333
<s>,دیدم 0.003436426116838488
<s>,دیده 0.003436426116838488
ای,خوش 0.023809523809523808
رفت,خوابت 0.5
خویش,که 0.25
فراق,چو 0.5
<s>,ویل 0.003436426116838488
تیغ,کشیده 0.3333333333333333
علتیان,را 1.0
کار,من 0.16666666666666666
انکار,سوی 1.0
که,خندانی 0.007142857142857143
هر,گدا 0.03225806451612903
سیما,تویی 0.5
می,نوشد 0.019230769230769232
زین,ها 0.2
گوشش,پر 1.0
ز,شادی 0.017543859649122806
کز,دیو 0.125
ست,که 0.1111111111111111
بغداد,جهان 0.5
خوش,کمر 0.14285714285714285
صنعت,نانبا 1.0
جور,تو 0.6666666666666666
و,چه 0.007194244604316547
شام,برق 0.5
بود,بعد 0.03225806451612903
چون,شود 0.043478260869565216
آسیا,</s> 0.5
گو,برو 0.6666666666666666
ما,دیدیم 0.034482758620689655
رها,کن 0.6666666666666666
غیر,نظر 1.0
ندارد,بدو 0.25
که,بسوختیم 0.007142857142857143
زلف,او 0.5
شمار,آمد 1.0
هست,پریشان 0.125
بود,</s> 0.5161290322580645
کنم,آهوی 0.25
دارد,</s> 0.8125
و,باقوام 0.007194244604316547
ور,نکوبی 0.25
<s>,جز 0.003436426116838488
کارت,اگر 1.0
هم,تو 0.125
دیدیم,و 1.0
شود,علم 0.05263157894736842
بجمال,و 1.0
آن,شاه 0.045454545454545456
یار,را 0.16666666666666666
شام,بود 0.5
رحمی,کز 1.0
مشت,گل 1.0
نار,خندان 0.3333333333333333
را,غالب 0.012345679012345678
زوبع,و 1.0
خمش,مکن، 0.3333333333333333
کافر,عشق 1.0
وقت,خوابست 0.2
تجهیل,از 1.0
آهن,گیا 1.0
گوش,عقل 0.5
و,عشقم 0.007194244604316547
هست,حجاب 0.125
که,حریفان 0.007142857142857143
دل,تو 0.06896551724137931
گو,ای 0.3333333333333333
کار,آمد 0.16666666666666666
نهادیم,محصول 0.3333333333333333
یوسف,خوب 0.16666666666666666
تو,سیری 0.01098901098901099
حدست,و 1.0
چه,زوبع 0.02040816326530612
به,حافظ 0.011904761904761904
برادران,رحمی 1.0
گمان,گمان 0.25
شاخ,و 0.6666666666666666
سوی,جمع 0.1111111111111111
کنم,در 0.25
زر,گوشش 0.25
نیم,عدو 0.3333333333333333
گر,چه 0.125
حافظ,خوش 0.058823529411764705
اتیننا،,بجمال 1.0
تا,ز 0.05
بر,گل 0.020833333333333332
وفاداری,کند 1.0
چه,غم 0.02040816326530612
قدم,گر 0.5
در,شورم 0.014705882352941176
می,کشی 0.019230769230769232
کنار,بود 0.3333333333333333
روانیم,نه 1.0
جنگشان,وز 1.0
عشق,آتش 0.05
<s>,بل 0.003436426116838488
بین,منتظر 0.3333333333333333
ز,باغ 0.017543859649122806
وقت,کار 0.2
از,کان 0.021505376344086023
عاشق,آن 0.5
نمی,ورزند 0.16666666666666666
سخندانی,و 1.0
خورده,ست 1.0
حافظ,مکن 0.058823529411764705
چاشنی,نبود 1.0
جمعیت,جنان 1.0
دانه,سیب 0.2
باز,مانده 0.3333333333333333
بسا,شب 0.5
عزیز,و 1.0
پیغامبر,خوبی 1.0
باش,در 0.3333333333333333
می,مژده 0.019230769230769232
نه,خود 0.07142857142857142
حسنت,نه 1.0
نقد,محقر 1.0
او,حافظ 0.02857142857142857
چه,بود 0.02040816326530612
و,نکته 0.007194244604316547
خود,لطف 0.0625
بیابی,از 1.0
حرف,بشمرده 0.5
نگرداند,تو 1.0
درد,غم 0.1111111111111111
در,تن 0.014705882352941176
گل,در 0.1
جودت,تا 1.0
گیسویت,مجمع 1.0
لوت,طبق 1.0
دریا,در 1.0
به,گروگان 0.011904761904761904
خوش,نباشد 0.2857142857142857
دم,دلا 0.09090909090909091
پرغل,و 1.0
رویی,ای 0.3333333333333333
گوید,راه 0.07692307692307693
خواجه,ام 0.125
فتی,از 1.0
دوش,آگهی 0.3333333333333333
این,قبا 0.027777777777777776
کبک,خرامی 1.0
نامبارک,مرغی 1.0
فردا,میفکن 0.5
آمد,شهی 0.058823529411764705
تو,دونده 0.01098901098901099
آیین,تقوا 1.0
مست,جمالت 0.25
اناالحق,می 1.0
او,پیدا 0.02857142857142857
تو,سیاه 0.01098901098901099
روغنی,</s> 1.0
از,چشم 0.010752688172043012
رقص,آ 0.75
ز,نقش 0.017543859649122806
روشن,گردد 0.5
کن,کاین 0.09090909090909091
گور,سپاری 0.3333333333333333
لعلی,از 0.5
کل,داخل 0.3333333333333333
شدم,</s> 0.6666666666666666
کس,نمی 0.2
ز,طره 0.017543859649122806
ار,خبر 0.25
به,خورشید 0.011904761904761904
ور,دو 0.25
کهگل,در 1.0
روی,زمین 0.07142857142857142
شیطان,چه 1.0
کفی,آمد 0.6666666666666666
ما,چرا 0.034482758620689655
بدو,که 0.3333333333333333
کاین,گفت 0.3333333333333333
و,جوی 0.007194244604316547
و,شباب 0.007194244604316547
دوش,گفت 0.3333333333333333
جانانه,نهادیم 1.0
بر,کرام 0.020833333333333332
نوشد,بروید 0.6666666666666666
احسانی,حافظ 1.0
کرد,از 0.09090909090909091
جست,و 1.0
کام,و 0.3333333333333333
تن,تیره 0.2
چو,ابرم 0.03333333333333333
چون,بود 0.043478260869565216
عاشق,شیدا 0.5
دلم,را 0.5
بی,نظام 0.045454545454545456
صد,بام 0.2
جدا,مدهید 0.25
روان,کردن 0.2
روان,کرده 0.2
کنون,خامش 0.25
شوید,چه 1.0
سر,سرمست 0.047619047619047616
بشکست,چو 1.0
کشتی,گرفتی 0.5
ریب,المنون 1.0
آب,آتش 0.16666666666666666
خود,کندش 0.0625
وه,که 1.0
دانه,تمر 0.2
مگر,که 0.5
آن,خیال 0.015151515151515152
خواهد,بود 0.5
از,زمین 0.010752688172043012
<s>,هست 0.006872852233676976
خیالت,گهر 0.5
شاد,شود 1.0
<s>,سوی 0.006872852233676976
چون,قالب 0.043478260869565216
<s>,باده 0.003436426116838488
و,دانی 0.007194244604316547
سیمای,خود 1.0
آفتاب,چرا 0.3333333333333333
بروید,برگ 0.5
ایزدست,جان 1.0
از,گل 0.010752688172043012
نه,بر 0.07142857142857142
<s>,امروز 0.003436426116838488
تا,قیامت 0.05
او,یوسف 0.02857142857142857
مرغی,که 1.0
وز,بدی 0.125
دیده,سآمت 0.1111111111111111
ای,حشم 0.023809523809523808
تمر,اگر 1.0
کی,به 0.14285714285714285
بپرسید,از 1.0
گویی,از 0.3333333333333333
پخته,اند 1.0
از,مشرق 0.010752688172043012
تو,</s> 0.02197802197802198
مطبخ,هر 0.5
حسن,تو 0.25
دل,سیه 0.034482758620689655
بین,که 0.6666666666666666
دهان,ها 0.25
هر,اندیشه 0.03225806451612903
بر,گور 0.020833333333333332
نماند,ز 0.5
مثال,آفتاب 1.0
طراری,کند 0.5
لعل,و 1.0
گفت,کو 0.16666666666666666
سینه,حافظ 0.25
ما,پنداشتیم 0.034482758620689655
پیمانه,می 1.0
گویا,برآمد 1.0
ایشان,بشکست 0.5
تو,انبار 0.01098901098901099
دود,چیست 1.0
رندی,و 0.25
با,من 0.058823529411764705
فلک,اند 0.2
خدای,که 1.0
سوزی,نه 1.0
مطلوب,را 1.0
مرو,دزدیده 0.5
و,زان 0.007194244604316547
بر,چشمت 0.020833333333333332
که,حرف 0.007142857142857143
دیده,به 0.1111111111111111
سیب,از 0.5
کردی,کو 0.5
شد,که 0.045454545454545456
چندین,درازدستی 0.5
میدان,بترسد 0.5
گرفته,یاسمن 0.5
آفتاب,آید 0.3333333333333333
بر,دست 0.020833333333333332
گمان,جانب 0.25
گرد,چو 0.5
ام,نعره 0.125
یکی,دانه 0.3333333333333333
دماغ,دارد 1.0
بر,من 0.020833333333333332
سازیم,که 1.0
آرد,در 0.5
سبزه,ذوالفقار 1.0
ظاهر,چو 0.3333333333333333
خرابی,تن 1.0
گنجا,مده 1.0
وان,دفع 0.2
که,روید 0.007142857142857143
سهیل,در 1.0
خورشید,بر 0.5
گوهر,و 0.5
مپرس,</s> 0.6666666666666666
کآدم,ز 1.0
خور,نور 1.0
و,دانا 0.007194244604316547
دونده,شد، 1.0
وی,گفتمی 0.2
و,مژگانت 0.007194244604316547
ترسد,از 1.0
مژده,دهد 0.3333333333333333
باد,بگذشتی 0.08333333333333333
بر,سرش 0.020833333333333332
چو,می 0.03333333333333333
یقین,کشدا 0.3333333333333333
خون,چکید 0.09090909090909091
هر,چه 0.0967741935483871
دل,لوت 0.034482758620689655
دست,در 0.3333333333333333
های,برترین 0.2
بربود,سیل 1.0
گوهری,تو 1.0
و,فردا 0.007194244604316547
گر,لوبیا 0.0625
سر,فسوس 0.047619047619047616
گدایی,مکن 0.3333333333333333
در,دارد 0.014705882352941176
خوشم,زیرا 1.0
بارها,</s> 1.0
در,روح 0.014705882352941176
<s>,باریک 0.003436426116838488
و,کوه 0.007194244604316547
از,شادی 0.010752688172043012
بتوانی,حاصل 1.0
رسید,که 0.5
حال,دین 0.16666666666666666
اگر,به 0.07692307692307693
تو,مهتاب 0.01098901098901099
می,ترسم 0.019230769230769232
کافورم,</s> 1.0
برجه,قدمی 0.5
یعقوب,نیز 0.5
گور,پرده 0.3333333333333333
<s>,مرا 0.006872852233676976
<s>,وقت 0.003436426116838488
را,بدو 0.012345679012345678
در,چنان 0.014705882352941176
کنون,ناطق 0.25
کن,نه 0.09090909090909091
شود,زلف 0.05263157894736842
نیم,کاره 0.3333333333333333
هاتفی,از 1.0
گذشتست,او 1.0
چو,یوسف 0.03333333333333333
من,چاشت 0.015625
این,آستانه 0.027777777777777776
شکایت,چه 1.0
آن,نیست 0.015151515151515152
که,مانا 0.007142857142857143
فردای,تو 1.0
دستار,مرا 0.3333333333333333
که,عیاری 0.007142857142857143
همی,زد 0.16666666666666666
تو,حدیث 0.01098901098901099
باد,باد 0.08333333333333333
کشیده,شاه 0.3333333333333333
تبریزی,چه 0.3333333333333333
گفتند,خواجه 1.0
<s>,سایه 0.003436426116838488
از,جور 0.010752688172043012
آن,هوس 0.015151515151515152
آید,هر 0.08333333333333333
شب,که 0.25
گر,وصل 0.0625
دین,مشهور 0.25
رنگ,رنجوران 0.2
سیل,از 1.0
اگر,بر 0.07692307692307693
دم,میش 0.09090909090909091
گوید,غره 0.07692307692307693
دم,است 0.09090909090909091
کو,کبابت 0.1111111111111111
نمکدان,کی 1.0
آن,یوسف 0.030303030303030304
هوسناکی,در 1.0
بنگر,چگونه 0.5
تو,دارد 0.04395604395604396
و,آموخت 0.007194244604316547
<s>,شراب 0.003436426116838488
یک,لحظه 0.09090909090909091
یاد,باد 0.3333333333333333
جاهلی,بود 1.0
و,چنان 0.007194244604316547
میکده,بیرون 1.0
اقربا,</s> 1.0
زدی,مست 1.0
جا,و 0.14285714285714285
نهان,وقت 0.5
سست,کردی 0.5
تن,همچون 0.2
برپر,هله 0.5
تو,داری 0.01098901098901099
و,محکم 0.007194244604316547
فراق,و 0.5
می,گوید 0.07692307692307693
را,آن 0.024691358024691357
<s>,بحر 0.003436426116838488
وشان,</s> 1.0
گزاف,می 1.0
عشق,دیده 0.05
ساقیا,آب 1.0
چنین,عزیز 0.3333333333333333
فرط,عشق 1.0
دیده,زان 0.1111111111111111
دعا,بسیار 0.3333333333333333
جا,که 0.07142857142857142
چند,باشیم 0.3333333333333333
آن,ابریق 0.015151515151515152
ای,آنک 0.023809523809523808
حال,آن 0.16666666666666666
چشم,خوشت 0.16666666666666666
آستانه,راه 1.0
زبان,کز 0.2
آنک,می 0.3333333333333333
<s>,عقل 0.010309278350515464
آب,حیوان 0.3333333333333333
باغبان,شده 1.0
بخندد,ولی 1.0
همت,ار 0.5
عاقبت,اندیش 1.0
و,وصال 0.007194244604316547
چین,است 1.0
هدیه,را 1.0
تو,بازده 0.01098901098901099
چونک,از 0.5
ظلمت,شب 1.0
راه,ندارد 0.2
چو,عشق 0.03333333333333333
کارزار,</s> 1.0
ره,گذران 0.2
حبوب,و 0.5
گو،,خمش 1.0
می,صفا 0.019230769230769232
است,آن 0.045454545454545456
کنی,بر 0.14285714285714285
که,خندانم 0.007142857142857143
قرین,را 0.3333333333333333
گور,من 0.3333333333333333
یوسف,مصر 0.16666666666666666
و,دام 0.007194244604316547
آمد,علم 0.058823529411764705
که,سوخته 0.007142857142857143
بدریده,شد 1.0
برو,قوامی 0.16666666666666666
غلام,دارد 0.5
ما,از 0.10344827586206896
چنانک,از 1.0
می,آید 0.09615384615384616
دام,درآیم 0.3333333333333333
از,علمهای 0.010752688172043012
بنفشه,تاب 0.5
بادا,باد 1.0
خرد,</s> 1.0
شراب,قدیمست 0.5
مردود,چیست 1.0
و,رنگ 0.014388489208633094
تو,ببینی 0.01098901098901099
دیو,درافتی 0.5
سیما,</s> 0.5
ای,برادران 0.023809523809523808
که,گلرخیش 0.007142857142857143
چه,جای 0.02040816326530612
زند,نقش 0.2
ننالم,من 1.0
آن,روح 0.015151515151515152
چرخ,خم 0.3333333333333333
خداست,</s> 1.0
از,بوسه 0.010752688172043012
امسال,عرب 1.0
زند,در 0.2
و,بی 0.014388489208633094
به,دل 0.011904761904761904
به,ده 0.011904761904761904
آیی,زیارت 1.0
به,دو 0.023809523809523808
خرمنی,آن 1.0
آن,ساقی 0.015151515151515152
صخره,و 1.0
گزیده,ام 1.0
ای,یاران 0.023809523809523808
بساخت,برگ 1.0
نالی,گر 1.0
کرد,هم 0.09090909090909091
خورد,در 1.0
آخر,بر 0.2
آسمان,توان 0.25
ای,گرفته 0.023809523809523808
عاشقان,را 0.5
این,بحر 0.027777777777777776
مبتلا,</s> 1.0
در,آن 0.029411764705882353
گر,آید 0.0625
فرخ,و 0.5
بگویند,که 1.0
کند,شما 0.047619047619047616
خوشخوانی,نمی 1.0
حسن,حافظ 0.25
پیش,</s> 0.16666666666666666
ریش,زد 0.5
مشربی,</s> 1.0
خندان,تو 1.0
گویم,برملا 0.16666666666666666
جا,همین 0.07142857142857142
گشتی,فدای 0.3333333333333333
در,آب 0.014705882352941176
بو,که 1.0
در,تبش 0.014705882352941176
که,گل 0.007142857142857143
و,مگو 0.007194244604316547
بی‏خبر,از 1.0
در,هجران 0.014705882352941176
رخ,ما 0.5
حیله,ریب 0.5
بی,شمار 0.045454545454545456
زد,دست 0.16666666666666666
در,شرح 0.014705882352941176
شمس,تبریزیست 0.1111111111111111
نمودی,خواب 1.0
پیدا,</s> 0.5
به,نطق 0.011904761904761904
مستم,چنان 0.5
<s>,گفتش 0.003436426116838488
بستدیم,ای 1.0
چه,کار 0.02040816326530612
تا,چند 0.05
به,درشتی 0.011904761904761904
شیرین,شده 1.0
اسرار,غم 1.0
به,طراری 0.011904761904761904
می,پوشی 0.019230769230769232
نور,تو 0.14285714285714285
شد,مریمی 0.045454545454545456
است,و 0.045454545454545456
صلا,که 0.5
طبق,را 0.3333333333333333
مکن,عیب 0.1
دوا,</s> 0.5
بر,سیما 0.020833333333333332
امین,باش 0.5
باشد,یا 0.1111111111111111
گل,دمی 0.1
از,خدای 0.010752688172043012
و,به 0.007194244604316547
انجمن,گردد 1.0
چه,گوهری 0.02040816326530612
این,آخرزمان 0.027777777777777776
کرد,تا 0.09090909090909091
آن,کاین 0.015151515151515152
مهربان,ساقی 1.0
زهر,هجری 1.0
که,دلت 0.007142857142857143
هست,آن 0.25
ما,درس 0.034482758620689655
جان,اناالحق 0.03333333333333333
چشم,تو 0.16666666666666666
گریه,بر 1.0
از,غم 0.021505376344086023
جان,سیه 0.03333333333333333
عطاهای,تو 1.0
است,ما 0.045454545454545456
ایمن,کنی 1.0
بی,دل 0.045454545454545456
قرین,پیرهن 0.3333333333333333
زمین,هر 0.2
نیاید,گزاف 1.0
جز,می 0.16666666666666666
سوخته,آتش 1.0
و,خمش 0.007194244604316547
لطیف,بی‏ندید 1.0
او,خمرهای 0.02857142857142857
عشق,گوید 0.05
یزدان,به 0.5
آستان,جانان 1.0
برافشاند,تن 1.0
افسانه,شد 0.5
آسیا,هست 0.5
بی,صوت 0.045454545454545456
دانی,حالت 0.2
همت,بر 0.5
دستار,ربود 0.3333333333333333
زد,طبق 0.16666666666666666
کان,کبر 0.1
جای,تو 0.25
امی,دیدی 1.0
نادیده,خود 1.0
فرخنده,شدم 1.0
<s>,مخدوم 0.003436426116838488
چند,کان 0.3333333333333333
کنان,بر 1.0
با,بخت 0.058823529411764705
برعکس,حال 1.0
آن,چشم 0.015151515151515152
گروگان,دستار 1.0
ننگشان,</s> 1.0
<s>,همای 0.003436426116838488
خود,را 0.1875
بل,ز 1.0
سزاست,هر 0.5
و,غش 0.007194244604316547
دل,ها 0.034482758620689655
خود,نه 0.0625
را,در 0.037037037037037035
ز,رزم 0.017543859649122806
خنبک,زدی 1.0
چو,بنشاند 0.03333333333333333
به,یک 0.023809523809523808
که,بداد 0.007142857142857143
حال,پیر 0.16666666666666666
ما,دهان 0.034482758620689655
حامل,عرش 1.0
کی,کند 0.14285714285714285
گوید,</s> 0.23076923076923078
همره,ساقیست 1.0
مجلس,ما 0.3333333333333333
بهر,زبان 0.3333333333333333
<s>,ظاهر 0.003436426116838488
برپر,چو 0.5
در,خرمن 0.014705882352941176
بسوختیم,و 1.0
این,روزی 0.027777777777777776
کند,ای 0.047619047619047616
و,منات 0.007194244604316547
ما,نگران 0.034482758620689655
خیالت,به 0.5
به,سر 0.011904761904761904
<s>,انتظار 0.006872852233676976
بخت,گمراه 1.0
می‏شوم,هر 1.0
فکن،,که 1.0
کار,خدایی 0.16666666666666666
درج,در 1.0
او,واله 0.02857142857142857
پیش,زد 0.16666666666666666
لذت,سوز 1.0
بر,هلا 0.020833333333333332
آمد,در 0.058823529411764705
را,جوانست 0.012345679012345678
بود,مرهم 0.03225806451612903
ها,نگهدارید 0.0625
داده,از 1.0
حق,شناسان 0.25
یار,کند 0.16666666666666666
یک,پیمانه 0.09090909090909091
دانه,را 0.2
<s>,تصورهای 0.003436426116838488
پنهانی,جز 0.5
همه,را 0.125
ساقی,کز 0.14285714285714285
شما,را 0.5
گر,تو 0.0625
نور,درخشاند 0.14285714285714285
عزی,و 1.0
روح,شمس 0.16666666666666666
کرد,عشق 0.09090909090909091
خاکیستم,رمال 1.0
پیدا,آن 0.5
چو,دیدی 0.03333333333333333
دزدیدی,ز 1.0
وارستم,من 1.0
<s>,کس 0.003436426116838488
چشمت,که 1.0
رنگ,بلور 0.2
از,بی 0.010752688172043012
سو,می 1.0
مست,عنبی 0.25
برآید,</s> 0.6666666666666666
نمی,گوید 0.16666666666666666
نیم,با 0.3333333333333333
جان,نقد 0.03333333333333333
ظل,ذو 1.0
کان,نثار 0.1
خمش,کن 0.3333333333333333
وحشی,صفت 1.0
<s>,کو 0.003436426116838488
یار,مهربان 0.16666666666666666
<s>,اگر 0.010309278350515464
ضمیر,هر 1.0
دوست,کردنی 0.25
سر,صحرای 0.047619047619047616
شد,از 0.09090909090909091
روی,درکشی 0.07142857142857142
دانیش,و 0.5
بر,زمین 0.020833333333333332
در,چاه 0.014705882352941176
دانی,تو 0.2
سینه,نشان 0.25
اوج,علا 1.0
بده‏ستش,مسکن 1.0
بینبوید,</s> 1.0
تاجداران,در 1.0
<s>,آسمان 0.003436426116838488
بینم,حال 0.5
بی‏حزمی,پشیمانی 1.0
میان,خوف 0.14285714285714285
در,چرخ 0.014705882352941176
برده,سر 0.5
خود,می 0.0625
تند,قدم 1.0
هوس,است 0.3333333333333333
هر,دو 0.03225806451612903
جان,به 0.03333333333333333
ای,است 0.023809523809523808
صحرای,تو 1.0
او,چه 0.02857142857142857
او,چو 0.02857142857142857
آن,روز 0.015151515151515152
هر,دم 0.03225806451612903
نور,که 0.14285714285714285
ذو,المننی 1.0
آید,نداند 0.08333333333333333
کو,نیم 0.1111111111111111
ار,کرد 0.25
خیالی,می 0.3333333333333333
تو,با 0.01098901098901099
بتم,دارد 1.0
دعا,در 0.3333333333333333
را,سر 0.012345679012345678
شه,به 0.3333333333333333
آمد,الغوث 0.058823529411764705
دلفروز,ما 1.0
کف,گندمی 0.16666666666666666
بوسه,و 0.5
شیدا,آن 0.5
آگه,شد 1.0
اکنون,نخواهد 1.0
ستایم,</s> 1.0
زمین,ناله 0.2
من,اسرار 0.015625
الهوا,امنو 1.0
من,وفاداری 0.015625
ذره,ای 0.3333333333333333
<s>,نبود 0.003436426116838488
که,کس 0.007142857142857143
که,گر 0.007142857142857143
تو,دو 0.02197802197802198
آید,تو 0.08333333333333333
رو,تفهیم 0.14285714285714285
به,گردون 0.011904761904761904
خواهم,زدن 1.0
بگو,آن 0.3333333333333333
درس,سحر 1.0
بنوش,</s> 1.0
سابقه,پیشین 1.0
خدا,داند 0.25
کشیده,ست 0.3333333333333333
موهبت,عدن 1.0
که,بس 0.007142857142857143
این,گو 0.027777777777777776
ار,به 0.25
ز,بی 0.03508771929824561
عشق,و 0.05
خبر,از 0.3333333333333333
صد,دام 0.2
ما,فراغ 0.034482758620689655
حشم,تا 1.0
بهاران,را 1.0
یک,دم 0.18181818181818182
<s>,ببیند 0.003436426116838488
کنم,نی 0.25
<s>,خور 0.003436426116838488
<s>,خود 0.003436426116838488
آن,</s> 0.015151515151515152
گفتنت,که 1.0
مرهم,کسی 1.0
آمد,که 0.17647058823529413
چنان,عالم 0.2
گر,نخسبی 0.0625
چون,بودی 0.043478260869565216
بی,نهایت 0.045454545454545456
تابش,خورشید 1.0
به,درد 0.011904761904761904
زدیم,پیش 1.0
کز,او 0.125
با,چشم 0.058823529411764705
ناطق,خمش 1.0
زهی,سلیم 1.0
به,یغماش 0.011904761904761904
صاحب,قدم 0.5
دلیر,است 1.0
و,سیمای 0.007194244604316547
نماند,همه 0.5
مجموعه,مراد 1.0
من,</s> 0.046875
دوامی,می 1.0
و,ترسم 0.007194244604316547
پشیمانی,ز 0.5
می,بری 0.019230769230769232
بی,صبری 0.045454545454545456
شیر,داند 0.3333333333333333
ملاحت,های 0.5
کمر,به 1.0
چنبر,برون 1.0
بکردت,حامل 1.0
بگو,هم 0.3333333333333333
چه,دارد 0.02040816326530612
یقین,و 0.3333333333333333
امامت,</s> 1.0
ندوانید,و 1.0
وام,دارد 1.0
چشمش,میان 1.0
تو,در 0.01098901098901099
هیچ,آشنا 0.3333333333333333
بر,در 0.041666666666666664
و,ببستی 0.007194244604316547
این,خسته 0.027777777777777776
دانه,نهادیم 0.2
خیالی,فخرشان 0.3333333333333333
شد,چونک 0.045454545454545456
به,بانگ 0.011904761904761904
از,چه 0.03225806451612903
از,شاخ 0.010752688172043012
به,خرابی 0.011904761904761904
حبوب,زیر 0.5
دلاویز,مشربی 1.0
سرخوشان,</s> 1.0
خواجه,تو 0.125
دشمن,من 1.0
نار,از 0.3333333333333333
به,فلک 0.011904761904761904
غروب,او 1.0
فقر,و 1.0
<s>,گرفتم 0.003436426116838488
ز,سر 0.03508771929824561
برو,گوشه 0.16666666666666666
گاه,جامی 0.3333333333333333
چو,تو 0.03333333333333333
بست,نکرد 1.0
تو,زاید 0.01098901098901099
ملکی,دیگر 1.0
علم,هاتان 0.5
شوی,هر 1.0
را,داند 0.012345679012345678
و,دد 0.007194244604316547
عنبی,دور 1.0
غم,هر 0.09090909090909091
طماع,و 1.0
هله,برجه 0.3333333333333333
جمع,صاف 0.14285714285714285
آن,از 0.015151515151515152
دگران,</s> 1.0
دانیم,لیکن 1.0
همه,جا 0.125
به,بستان 0.011904761904761904
پران,به 1.0
به,ظاهر 0.011904761904761904
خیالی,صلح‏شان 0.3333333333333333
زند,دم 0.2
ماه,به 0.3333333333333333
آرام,دل 1.0
زمین,چو 0.2
جای,امن 0.25
فرعون,نگیرم 1.0
و,کارزار 0.007194244604316547
<s>,وان 0.003436426116838488
از,شکست 0.010752688172043012
زلیخا,تویی 1.0
ها,کند 0.0625
عبرت,شود 1.0
گرفته,آفتابت 0.5
کجاست,خون 1.0
نسلم,کار 0.16666666666666666
باتدبیر,آمد 1.0
کنار,جو 0.3333333333333333
که,دهان 0.007142857142857143
عقل,رمیده 0.125
ز,غم 0.03508771929824561
مرا,تا 0.0625
که,فلک 0.007142857142857143
گفتش,قصاص 1.0
<s>,آتشی 0.003436426116838488
خدایی,</s> 1.0
سحرخیز,که 1.0
دلی,بود 0.5
کشانندت,مرو 0.5
سحر,در 0.3333333333333333
یار,سفرکرده 0.16666666666666666
بنده,شد 0.3333333333333333
شدم,به 0.3333333333333333
ز,دم 0.017543859649122806
ز,دل 0.03508771929824561
برنیامد,سال 1.0
رفته,ام 1.0
حق,خدا 0.25
قیامت,را 0.5
شرم,سست 0.5
به,سوی 0.03571428571428571
بریان,می‏شوم 1.0
نشاند,او 1.0
پیکی,ندوانید 1.0
گشته,به 0.2
نسرین,همی 1.0
وثاق,من 1.0
از,بحر 0.010752688172043012
بدید,و 1.0
کردیم,و 1.0
باد,آن 0.16666666666666666
گه,گاه 0.5
گر,شمس 0.0625
بداد,به 1.0
دارد,کان 0.0625
شد,ز 0.045454545454545456
مکان,باشد 0.25
هات,رساند 1.0
