کشتی,سرگشته 0.5
پیر,کنعانی 0.3333333333333333
<s>,در 0.020618556701030927
طریق,عشقبازی 1.0
ناب,با 1.0
باده,جان 0.5
تا,من 0.1
ببین,کان 1.0
نقش,صوابی 0.25
نه,خامی 0.07142857142857142
به,گور 0.011904761904761904
شکل,بتم 1.0
پاک,روانیم 1.0
چشمک,آن 1.0
سر,وز 0.047619047619047616
<s>,رو 0.003436426116838488
را,</s> 0.06172839506172839
می,زنم 0.038461538461538464
خسی,کو 1.0
تبریزیست,نگر 1.0
رنگ,خون 0.2
<s>,بیارید 0.003436426116838488
خواجه,عاشق 0.125
سوراخ,زن 0.5
لکل,همزه 1.0
منم,بنده 1.0
نبی,ارواح 1.0
درون,را 0.3333333333333333
در,بهار 0.014705882352941176
بحر,کرم 0.2
هم,زلیخا 0.125
کند,تو 0.047619047619047616
صبحگاهی,اثری 0.5
آن,نرگس 0.015151515151515152
به,باد 0.011904761904761904
<s>,باش 0.003436426116838488
هر,عاشقی 0.03225806451612903
دمی,می 0.2
نبود,دوا 0.3333333333333333
گیرد,و 0.5
جمع,سرکشان 0.14285714285714285
هزار,انجمن 0.16666666666666666
به,باغ 0.011904761904761904
تا,خود 0.05
از,خاطر 0.010752688172043012
او,زند 0.02857142857142857
هزاران,یاد 1.0
بی,خویشی 0.045454545454545456
ما,مجلس 0.034482758620689655
سرش,خرما 1.0
غایبم,و 1.0
سوی,غیر 0.1111111111111111
روید,از 0.5
من,عاشقان 0.015625
مقدم,آن 1.0
خود,شد 0.0625
ام,رقصان 0.125
دو,صد 0.3333333333333333
گوهر,یک 0.5
را,جز 0.012345679012345678
خوابست,نه 0.5
ماه,تو 0.3333333333333333
ست,پای 0.1111111111111111
بگفته,برشده 1.0
که,آبی 0.007142857142857143
ارواح,بر 0.5
لات,و 1.0
شود,کلاه 0.05263157894736842
دانی,</s> 0.2
ها,برده 0.0625
یزدان,لطیف 0.5
وقت,جوش 0.2
ذوالفقار,</s> 1.0
اگر,نوشد 0.15384615384615385
بر,این 0.020833333333333332
در,سوز 0.014705882352941176
را,روا 0.012345679012345678
می,خا 0.019230769230769232
ریخته,خود 1.0
کو,در 0.1111111111111111
حاصل,از 1.0
کاسه,کش 1.0
آن,حریفان 0.015151515151515152
بر,اقربا 0.020833333333333332
ز,زلف 0.017543859649122806
از,پی 0.010752688172043012
<s>,غلط 0.003436426116838488
گفتمی,گر 1.0
<s>,ناامیدان 0.003436426116838488
جان,جمله 0.03333333333333333
چو,کرد 0.03333333333333333
جانب,زمین 0.3333333333333333
بدیشان,جدا 1.0
<s>,سلطان 0.003436426116838488
و,گیر 0.007194244604316547
زنده,کن 0.5
اندر,ریش 0.2
تفهیم,بود 1.0
رشک,چین 1.0
سجده,ها 0.5
سیاه,کج 0.5
در,یمن 0.014705882352941176
رو,ترک 0.14285714285714285
از,وی 0.021505376344086023
زن,کزدم 1.0
خمرهای,بی 1.0
حافظ,اگر 0.058823529411764705
مرا,یافت 0.125
بس,دعاگو 0.25
بهانه,لا 1.0
کند,کافورم 0.047619047619047616
صفت,عقل 1.0
پرخون,دل 0.5
دوستدار,خواجه 1.0
شاه,جا 0.25
مکن,آهنگ 0.1
آموخت,مرا 1.0
شباب,و 0.5
عقل,و 0.125
حرف,بی 0.5
زر,نام 0.25
چو,من 0.03333333333333333
از,جمالت 0.010752688172043012
بر,فضل 0.020833333333333332
روید,ای 0.5
انتظار,حبوب 0.5
تو,تا 0.02197802197802198
هر,دون 0.03225806451612903
قدح,را 1.0
جانا,ترسمت 1.0
کندش,پر 1.0
<s>,نظیر 0.003436426116838488
این,چهی 0.027777777777777776
<s>,نار 0.003436426116838488
بیالایم,</s> 1.0
را,قرار 0.024691358024691357
یا,بر 0.14285714285714285
پادشایی,کنم 1.0
سیر,کی 0.5
<s>,هین 0.003436426116838488
هر,جا 0.03225806451612903
همین,خواهی 1.0
لقب,نه 1.0
صلا,</s> 0.5
آن,جهان 0.030303030303030304
پیر,و 0.3333333333333333
خون,جگر 0.09090909090909091
بامداد,باد 1.0
آمد,به 0.11764705882352941
بگریخت,او 1.0
که,دیدند 0.007142857142857143
آهوی,جانم 1.0
کنی,که 0.14285714285714285
سیاه,کم 0.5
آستین,به 1.0
آیدت,ز 1.0
وانگه,به 0.5
نشان,ها 0.3333333333333333
با,سینه 0.058823529411764705
مرا,عشق 0.0625
بر,آسمان 0.041666666666666664
که,جرعه 0.007142857142857143
تو,که 0.03296703296703297
ساقی,هزار 0.2857142857142857
تو,یا 0.01098901098901099
چه,آن 0.02040816326530612
حافظ,چه 0.058823529411764705
های,زخمه 0.2
من,یک 0.015625
لفافه,و 1.0
سربلندی,بر 1.0
فرخ,پی 0.5
بی,خبری 0.045454545454545456
کز,تو 0.125
بود,من 0.03225806451612903
گفت,نرگس 0.16666666666666666
عشقبازی,امن 1.0
بخشند,آبی 1.0
و,کژدم 0.007194244604316547
قدری,چنین 1.0
بنمایدت,باقیش 1.0
دوست,رسن 0.25
پرس,او 1.0
اهل,کام 0.5
ندارد,</s> 0.75
روان,خامش 0.2
کرام,و 1.0
آسمان,کردن 0.25
داخل,است 1.0
عهدشکن,نمی 1.0
لیکن,چه 0.5
دانیش,دانیش 0.5
ز,بنفشه 0.017543859649122806
از,نظر 0.010752688172043012
حنین,</s> 1.0
انسانم,آرزوست 1.0
مگو,دریغ 0.3333333333333333
و,پیش 0.007194244604316547
ایا,به 1.0
ایمان,نیارد 1.0
گویم,</s> 0.3333333333333333
ترک,که 0.14285714285714285
وصل,یار 0.5
دعا,</s> 0.3333333333333333
بدان,رسید 1.0
نهان,گویم 0.5
<s>,آیین 0.003436426116838488
زخم,تو 0.3333333333333333
